date,time,sensor,location,number,activity,position,location
1/18/2024,3:46:32 PM,0,A11,1,placed,inside,A11
1/18/2024,4:02:00 PM,0,A12,1,picked,inside,A12
1/18/2024,4:20:00 PM,1,A13,1,placed,inside,A13
1/18/2024,4:26:00 PM,1,A14,1,picked,inside,A14
1/18/2024,4:29:00 PM,1,A15,1,placed,inside,A15
1/18/2024,4:37:00 PM,0,A16,1,picked,inside,A16
1/18/2024,4:42:00 PM,1,A17,1,placed,inside,A17
1/18/2024,4:47:00 PM,0,A18,1,picked,outside,A18
1/18/2024,4:54:00 PM,0,A19,1,placed,Inside,A19
1/18/2024,5:07:00 PM,1,A20,1,picked,inside,A20
1/18/2024,5:12:00 PM,1,A21,1,placed,inside,A21
1/18/2024,5:16:00 PM,1,A22,1,picked,inside,A22
1/18/2024,5:35:00 PM,0,A23,1,placed,inside,A23
1/18/2024,5:45:00 PM,1,A24,1,picked,inside,A24
1/18/2024,6:04:00 PM,0,A25,1,placed,inside,A25
1/18/2024,6:10:00 PM,0,A26,1,picked,inside,A26
1/18/2024,6:15:00 PM,0,A27,1,placed,inside,A27
1/18/2024,6:35:00 PM,1,A28,1,picked,inside,A28
1/18/2024,6:45:00 PM,1,A29,1,placed,inside,A29
1/18/2024,6:57:00 PM,0,A30,1,picked,outside,A30
1/18/2024,7:10:00 PM,,A31,1,placed,Inside,A31
1/18/2024,7:19:00 PM,1,A32,1,picked,inside,A32
1/18/2024,7:23:00 PM,1,A33,1,placed,inside,A33
1/18/2024,7:30:20 PM,1,A34,1,picked,inside,A34
1/18/2024,10:10:30 AM,0,A1,2,placed,inside,A1
1/18/2024,10:12:30 AM,1,A1,2,picked,inside,A1
1/18/2024,10:28:30 AM,1,A1,2,placed,Inside,A1
1/18/2024,10:38:20 AM,0,A2,2,picked,Inside,A2
1/18/2024,10:45:20 AM,1,A2,2,placed,inside,A2
1/18/2024,10:52:20 AM,0,A2,2,picked,inside,A2
1/18/2024,11:05:20 AM,1,A4,2,placed,Inside,A4
1/18/2024,11:18:00 AM,1,A6,2,picked,Inside,A6
1/18/2024,11:30:00 AM,0,A6,2,placed,Inside,A6
1/18/2024,11:38:00 AM,0,A1,2,picked,inside,A1
1/18/2024,11:42:35 AM,0,A2,2,placed,inside,A2
1/18/2024,11:50:20 AM,1,A3,2,picked,inside,A3
1/18/2024,12:05:22 PM,0,A4,2,placed,inside,A4
1/18/2024,12:15:20 PM,1,A5,2,picked,inside,A5
1/18/2024,12:32:35 PM,0,A6,2,placed,inside,A6
1/18/2024,12:35:30 PM,1,A7,2,picked,inside,A7
1/18/2024,12:45:05 PM,0,A8,2,placed,inside,A8
1/18/2024,12:53:10 PM,1,A9,2,picked,inside,A9
1/18/2024,12:59:10 PM,1,A10,2,placed,outside,A10
1/18/2024,1:10:20 PM,1,A11,2,picked,Inside,A11
1/18/2024,1:18:30 PM,0,A12,2,placed,inside,A12
